check,Name,test_code,source,Section,module_type,Domain,Sub-Domain,Tags,Status,Duplicates,Marked,Sort-Util
No,CBDL-1.2.04,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD1.02.05 (https://www.notion.so/CBD1-02-05-cd928daccad4475cb06ea381151a2840?pvs=21),,B
No,CBDL-1.2.05,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD2.02U.03 (https://www.notion.so/CBD2-02U-03-7c5df5e6a19f436aaac412c6632ac348?pvs=21),,B
No,CBDL-1.2.06,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,,,B
No,CBDL-1.2.07,CBDL1,digital-linear,RW,standard,craft-and-structure,words-in-context,,,CBD1.02.07 (https://www.notion.so/CBD1-02-07-846b83fc7e6641b6845a1ef52e38a78a?pvs=21),,B
No,CBDL-1.2.08,CBDL1,digital-linear,RW,standard,craft-and-structure,structure-and-purpose,main-purpose,,CBD4.02U.06 (https://www.notion.so/CBD4-02U-06-0d25c39d3d994341b9f1a96f1b199533?pvs=21),,A
No,CBDL-1.2.09,CBDL1,digital-linear,RW,standard,craft-and-structure,cross-text-connections,,,,,
No,CBDL-1.2.10,CBDL1,digital-linear,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,CBDL-1.2.11,CBDL1,digital-linear,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,CBDL-1.2.12,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,CBDL-1.2.13,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,CBDL-1.2.14,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,CBDL-1.2.15,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,CBDL-1.2.16,CBDL1,digital-linear,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,CBDL-1.2.17,CBDL1,digital-linear,RW,standard,information-and-ideas,inferences,,,,,
No,CBDL-1.2.18,CBDL1,digital-linear,RW,standard,information-and-ideas,inferences,,,,,
No,CBDL-1.2.19,CBDL1,digital-linear,RW,standard,standard-English-conventions,verbs,,,,,
No,CBDL-1.2.20,CBDL1,digital-linear,RW,standard,standard-English-conventions,syntax,,,,,
No,CBDL-1.2.21,CBDL1,digital-linear,RW,standard,standard-English-conventions,verbs,,,,,
No,CBDL-1.2.22,CBDL1,digital-linear,RW,standard,standard-English-conventions,questions,,,,,
No,CBDL-1.2.23,CBDL1,digital-linear,RW,standard,standard-English-conventions,verbs,,,,,
No,CBDL-1.2.24,CBDL1,digital-linear,RW,standard,standard-English-conventions,syntax,,,,,
No,CBDL-1.2.25,CBDL1,digital-linear,RW,standard,standard-English-conventions,verbs,,,,,
No,CBDL-1.2.26,CBDL1,digital-linear,RW,standard,standard-English-conventions,modifier-placement,,,,,
No,CBDL-1.2.27,CBDL1,digital-linear,RW,standard,standard-English-conventions,syntax,,,,,
No,CBDL-1.2.28,CBDL1,digital-linear,RW,standard,expression-of-ideas,transitions,,,,,
No,CBDL-1.2.29,CBDL1,digital-linear,RW,standard,expression-of-ideas,transitions,,,,,
No,CBDL-1.2.30,CBDL1,digital-linear,RW,standard,expression-of-ideas,transitions,,,,,
No,CBDL-1.2.31,CBDL1,digital-linear,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,CBDL-1.2.32,CBDL1,digital-linear,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,CBDL-1.2.33,CBDL1,digital-linear,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,CBDL-1.3.01,CBDL1,digital-linear,M,standard,problem-solving-and-data-analysis,percents,,,,,
No,CBDL-1.3.02,CBDL1,digital-linear,M,standard,algebra,linear-equations-and-inequalities,,,,,
No,CBDL-1.3.03,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.3.04,CBDL1,digital-linear,M,standard,advanced-math,quadratics,,,,,
No,CBDL-1.3.05,CBDL1,digital-linear,M,standard,problem-solving-and-data-analysis,probability,,,,,
No,CBDL-1.3.06,CBDL1,digital-linear,M,standard,problem-solving-and-data-analysis,conversions_word-problems,,,,,
No,CBDL-1.3.07,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.3.08,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.3.09,CBDL1,digital-linear,M,standard,geometry-and-trigonometry,angles_triangles,,,,,
No,CBDL-1.3.10,CBDL1,digital-linear,M,standard,algebra,linear-equations-and-inequalities,,,,,
No,CBDL-1.3.11,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.3.12,CBDL1,digital-linear,M,standard,advanced-math,cubics+,,,,,
No,CBDL-1.3.13,CBDL1,digital-linear,M,standard,algebra,linear-equations-and-inequalities,,,,,
No,CBDL-1.3.14,CBDL1,digital-linear,M,standard,advanced-math,quadratics,,,,,
No,CBDL-1.3.15,CBDL1,digital-linear,M,standard,advanced-math,exponential-functions,,,,,
No,CBDL-1.3.16,CBDL1,digital-linear,M,standard,algebra,algebraic-manipulation,,,,,
No,CBDL-1.3.17,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.3.18,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.3.19,CBDL1,digital-linear,M,standard,geometry-and-trigonometry,circles,,,,,
No,CBDL-1.3.20,CBDL1,digital-linear,M,standard,problem-solving-and-data-analysis,1-var-stats,,,,,
No,CBDL-1.3.21,CBDL1,digital-linear,M,standard,advanced-math,circle-equations,,,,,
No,CBDL-1.3.22,CBDL1,digital-linear,M,standard,geometry-and-trigonometry,circles,,,,,
No,CBDL-1.3.23,CBDL1,digital-linear,M,standard,problem-solving-and-data-analysis,conversions_word-problems,,,,,
No,CBDL-1.3.24,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.3.25,CBDL1,digital-linear,M,standard,advanced-math,quadratics,,,,,
No,CBDL-1.3.26,CBDL1,digital-linear,M,standard,algebra,linear-modelling,"PIN, general-form",,,,
No,CBDL-1.3.27,CBDL1,digital-linear,M,standard,geometry-and-trigonometry,angles_triangles,,,,,
No,CBDL-1.4.01,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.4.02,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.4.03,CBDL1,digital-linear,M,standard,algebra,linear-equations-and-inequalities,,,,,
No,CBDL-1.4.04,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.4.05,CBDL1,digital-linear,M,standard,geometry-and-trigonometry,angles_triangles,,,,,
No,CBDL-1.4.06,CBDL1,digital-linear,M,standard,algebra,linear-equations-and-inequalities,,,,,
No,CBDL-1.4.07,CBDL1,digital-linear,M,standard,advanced-math,quadratics,,,,,
No,CBDL-1.4.08,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.4.09,CBDL1,digital-linear,M,standard,advanced-math,cubics+,,,,,
No,CBDL-1.4.10,CBDL1,digital-linear,M,standard,advanced-math,quadratics,,,,,
No,CBDL-1.4.11,CBDL1,digital-linear,M,standard,algebra,algebraic-manipulation,,,,,
No,CBDL-1.4.12,CBDL1,digital-linear,M,standard,advanced-math,cubics+,,,,,
No,CBDL-1.4.13,CBDL1,digital-linear,M,standard,geometry-and-trigonometry,angles_triangles,,,,,
No,CBDL-1.4.14,CBDL1,digital-linear,M,standard,problem-solving-and-data-analysis,1-var-stats,,,,,
No,CBDL-1.4.15,CBDL1,digital-linear,M,standard,advanced-math,exponential-functions,,,,,
No,CBDL-1.4.16,CBDL1,digital-linear,M,standard,advanced-math,quadratics,,,,,
No,CBDL-1.4.17,CBDL1,digital-linear,M,standard,advanced-math,exponential-functions,,,,,
No,CBDL-1.4.18,CBDL1,digital-linear,M,standard,problem-solving-and-data-analysis,percents,,,,,
No,CBDL-1.4.19,CBDL1,digital-linear,M,standard,advanced-math,radicals-exponents,,,,,
No,CBDL-1.4.20,CBDL1,digital-linear,M,standard,algebra,linear-equations-and-inequalities,,,,,
No,CBDL-1.4.21,CBDL1,digital-linear,M,standard,advanced-math,absolute-value,,,,,
No,CBDL-1.4.22,CBDL1,digital-linear,M,standard,geometry-and-trigonometry,3D,,,,,
No,CBDL-1.4.23,CBDL1,digital-linear,M,standard,advanced-math,circle-equations,,,,,
No,CBDL-1.4.24,CBDL1,digital-linear,M,standard,advanced-math,exponential-functions,,,,,
No,CBDL-1.4.25,CBDL1,digital-linear,M,standard,advanced-math,exponential-functions,,,,,
No,CBDL-1.4.26,CBDL1,digital-linear,M,standard,algebra,linear-modelling,,,,,
No,CBDL-1.4.27,CBDL1,digital-linear,M,standard,advanced-math,quadratics,,,,,
No,CBP-01.02.15,,paper-based,RW,standard,standard-English-conventions,syntax,"commas, prepositional-phrases",,,,
No,CBP-02.02.28,,paper-based,RW,standard,standard-English-conventions,boundaries,"conjunctions, punctuation",,,,
No,CBP-02.02.33,,paper-based,RW,standard,standard-English-conventions,syntax,"commas, exceptions",,,,
No,CBP-03.02.14,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, punctuation",,,,
No,CBP-03.02.21,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, punctuation",,,,
No,CBP-03.02.24,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, demotion",,,,
No,CBP-03.02.29,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, conjunctions, conjunctive-adverbs, however",,,,
No,CBP-03.02.41,,paper-based,RW,standard,standard-English-conventions,syntax,"commas, titles",,,,
No,CBP-04.02.13,,paper-based,RW,standard,standard-English-conventions,boundaries,"finite-verbs, fragments",,,,
No,CBP-04.02.22,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, punctuation",,,,
No,CBP-04.02.36,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, conjunctions, conjunctive-adverbs, however",,,,
No,CBP-05.02.15,,paper-based,RW,standard,standard-English-conventions,syntax,"commas, prepositional-phrases",,,,
No,CBP-06.02.39,,paper-based,RW,standard,standard-English-conventions,syntax,"commas, interruptive-syntax",,,,
No,CBP-09.02.17,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, conjunctions, conjunctive-adverbs, however",,,,
No,CBP-09.02.38,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, punctuation",,,,
No,CBP-10.02.10,,paper-based,RW,standard,standard-English-conventions,boundaries,,,,,
No,CBP-10.02.25,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, punctuation",,,,
No,CBP-10.02.25,,paper-based,RW,standard,standard-English-conventions,syntax,"commas, interruptive-syntax",,,,
No,CBP-10.02.27,,paper-based,RW,standard,standard-English-conventions,boundaries,"finite-verbs, fragments",,,,
No,CBP-10.02.39,,paper-based,RW,standard,standard-English-conventions,boundaries,"boundaries, punctuation",,,,
No,CBP-10.02.40,,paper-based,RW,standard,standard-English-conventions,syntax,"commas, interruptive-syntax",,,,
No,KA-CID-01,,khan-academy,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,KA-CID-02,,khan-academy,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,KA-CID-03,,khan-academy,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,KA-CID-04,,khan-academy,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,KA-CID-05,,khan-academy,RW,standard,information-and-ideas,central-ideas-and-details,,,,,
No,KA-COE-Q-04,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,KA-COE-Q-02,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,KA-COE-Q-03,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,KA-COE-Q-01,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-quantitative,,,,,
No,KA-COE-T-01,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-COE-T-02,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-COE-T-03,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-COE-T-04,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-COE-T-05,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-COE-T-06,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-COE-T-07,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-COE-T-08,,khan-academy,RW,standard,information-and-ideas,command-of-evidence-textual,,,,,
No,KA-INF-01,,khan-academy,RW,standard,information-and-ideas,inferences,,,,,
No,KA-INF-02,,khan-academy,RW,standard,information-and-ideas,inferences,,,,,
No,KA-INF-03,,khan-academy,RW,standard,information-and-ideas,inferences,,,,,
No,KA-INF-04,,khan-academy,RW,standard,information-and-ideas,inferences,,,,,
No,KA-RHET-01,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-RHET-02,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-RHET-03,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-RHET-04,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-RHET-05,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-RHET-07,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-RHET-06,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-RHET-08,,khan-academy,RW,standard,expression-of-ideas,rhetorical-synthesis,,,,,
No,KA-TRANS-01,,khan-academy,RW,standard,expression-of-ideas,transitions,exemplification,,,,
No,KA-TRANS-02,,khan-academy,RW,standard,expression-of-ideas,transitions,,,,,
No,KA-TRANS-03,,khan-academy,RW,standard,expression-of-ideas,transitions,,,,,
No,KA-TRANS-04,,khan-academy,RW,standard,expression-of-ideas,transitions,,,,,
No,KA-TRANS-05,,khan-academy,RW,standard,expression-of-ideas,transitions,addition,,,,
No,KA-TRANS-06,,khan-academy,RW,standard,expression-of-ideas,transitions,,,,,
No,KA-TRANS-08,,khan-academy,RW,standard,expression-of-ideas,transitions,,,,,
No,KA-TRANS-07,,khan-academy,RW,standard,expression-of-ideas,transitions,,,,,
No,CBD1.04U.22,CBD1,digital,M,adapted_upper,geometry-and-trigonometry,angles_triangles,,,,,
No,CBD1.04U.21,CBD1,digital,M,adapted_upper,algebra,linear-modelling,,,,,
No,CBD1.04U.20,CBD1,digital,M,adapted_upper,problem-solving-and-data-analysis,1-var-stats,,,,,
No,CBD1.04U.19,CBD1,digital,M,adapted_upper,algebra,linear-modelling,,,,,
No,CBD1.04U.18,CBD1,digital,M,adapted_upper,geometry-and-trigonometry,angles_triangles,,,,,
No,CBD1.04U.17,CBD1,digital,M,adapted_upper,algebra,linear-modelling,,,,,
No,CBD1.04U.16,CBD1,digital,M,adapted_upper,algebra,linear-modelling,,,,,
No,CBD1.04U.15,CBD1,digital,M,adapted_upper,advanced-math,quadratics,,,,,
No,CBD1.04U.14,CBD1,digital,M,adapted_upper,algebra,linear-modelling,,,,,
No,CBD1.04U.13,CBD1,digital,M,adapted_upper,advanced-math,quadratics,,,,,
No,CBD1.04U.12,CBD1,digital,M,adapted_upper,algebra,linear-modelling,,,,,
No,CBD1.04U.11,CBD1,digital,M,adapted_upper,advanced-math,quadratics,,,,,
No,CBD1.04U.10,CBD1,digital,M,adapted_upper,problem-solving-and-data-analysis,percents,,,,,
No,CBD1.04U.09,CBD1,digital,M,adapted_upper,advanced-math,circle-equations,,,,,
No,CBD1.04U.08,CBD1,digital,M,adapted_upper,advanced-math,algebraic-manipulation,,,,,
No,CBD1.04U.07,CBD1,digital,M,adapted_upper,algebra,algebraic-manipulation,,,,,
No,CBD1.04U.06,CBD1,digital,M,adapted_upper,geometry-and-trigonometry,rectilinear,,,,,
No,CBD1.04U.05,CBD1,digital,M,adapted_upper,problem-solving-and-data-analysis,1-var-stats,,,,,
No,CBD1.04U.04,CBD1,digital,M,adapted_upper,algebra,linear-equations-and-inequalities,,,,,
No,CBD1.04U.03,CBD1,digital,M,adapted_upper,algebra,linear-equations-and-inequalities,,,,,
No,CBD1.04U.02,CBD1,digital,M,adapted_upper,problem-solving-and-data-analysis,percents,,,,,
No,CBD1.04U.01,CBD1,digital,M,adapted_upper,algebra,algebraic-manipulation,,,,,
No,CBD1.04L.22,CBD1,digital,M,adapted_lower,geometry-and-trigonometry,angles_triangles,,,,,
No,CBD1.04L.21,CBD1,digital,M,adapted_lower,algebra,algebraic-manipulation,,,,,
No,CBD1.04L.20,CBD1,digital,M,adapted_lower,algebra,linear-modelling,,,,,
No,CBD1.04L.19,CBD1,digital,M,adapted_lower,advanced-math,quadratics,,,,,
No,CBD1.04L.18,CBD1,digital,M,adapted_lower,advanced-math,quadratics,,,,,
No,CBD1.04L.17,CBD1,digital,M,adapted_lower,algebra,linear-modelling,,,,,
No,CBD1.04L.16,CBD1,digital,M,adapted_lower,algebra,linear-modelling,,,,,
No,CBD1.04L.15,CBD1,digital,M,adapted_lower,problem-solving-and-data-analysis,conversions_word-problems,,,,,
No,CBD1.04L.14,CBD1,digital,M,adapted_lower,algebra,linear-modelling,,,,,
No,CBD1.04L.13,CBD1,digital,M,adapted_lower,geometry-and-trigonometry,angles_triangles,,,,,
No,CBD1.04L.12,CBD1,digital,M,adapted_lower,algebra,linear-modelling,,,,,
No,CBD1.04L.11,CBD1,digital,M,adapted_lower,algebra,linear-modelling,,,,,
No,CBD1.04L.10,CBD1,digital,M,adapted_lower,advanced-math,cubics+,,,,,
No,CBD1.04L.09,CBD1,digital,M,adapted_lower,algebra,algebraic-manipulation,,,,,
No,CBD1.04L.08,CBD1,digital,M,adapted_lower,problem-solving-and-data-analysis,conversions_word-problems,,,,,
No,CBD1.04L.07,CBD1,digital,M,adapted_lower,problem-solving-and-data-analysis,percents,,,,,
No,CBD1.04L.06,CBD1,digital,M,adapted_lower,advanced-math,algebraic-manipulation,,,,,
No,CBD1.04L.05,CBD1,digital,M,adapted_lower,algebra,algebraic-manipulation,,,,,
No,CBD1.04L.04,CBD1,digital,M,adapted_lower,algebra,algebraic-manipulation,,,,,
No,CBD1.04L.03,CBD1,digital,M,adapted_lower,geometry-and-trigonometry,rectilinear,,,,,
No,CBD1.04L.02,CBD1,digital,M,adapted_lower,algebra,linear-equations-and-inequalities,,,,,
No,CBD1.04L.01,CBD1,digital,M,adapted_lower,problem-solving-and-data-analysis,1-var-stats,,,,,
No,CBD1.03.22,CBD1,digital,M,standard,advanced-math,quadratics,,,,,
No,CBD1.03.21,CBD1,digital,M,standard,algebra,linear-modelling,,,,,
No,CBD1.03.20,CBD1,digital,M,standard,advanced-math,quadratics,,,,,
No,CBD1.03.19,CBD1,digital,M,standard,geometry-and-trigonometry,angles_triangles,,,,,
No,CBD1.03.18,CBD1,digital,M,standard,algebra,linear-equations-and-inequalities,,,,,
No,CBD1.03.17,CBD1,digital,M,standard,geometry-and-trigonometry,3D,,,,,
No,CBD1.03.16,CBD1,digital,M,standard,advanced-math,exponential-functions,,,,,
No,CBD1.03.15,CBD1,digital,M,standard,algebra,linear-modelling,,,,,
No,CBD1.03.14,CBD1,digital,M,standard,algebra,linear-modelling,,,,,
No,CBD1.03.13,CBD1,digital,M,standard,advanced-math,exponential-functions,,,,,
No,CBD1.03.12,CBD1,digital,M,standard,geometry-and-trigonometry,rectilinear,,,,,
No,CBD1.03.11,CBD1,digital,M,standard,geometry-and-trigonometry,circles,,,,,
No,CBD1.03.10,CBD1,digital,M,standard,advanced-math,exponential-functions,,,,,
No,CBD1.03.09,CBD1,digital,M,standard,advanced-math,exponential-functions,,,,,
No,CBD1.03.08,CBD1,digital,M,standard,advanced-math,algebraic-manipulation,,,,,
No,CBD1.03.07,CBD1,digital,M,standard,problem-solving-and-data-analysis,1-var-stats,,,,,
No,CBD1.03.06,CBD1,digital,M,standard,problem-solving-and-data-analysis,probability,,,,,
No,CBD1.03.05,CBD1,digital,M,standard,algebra,linear-modelling,,,,,
No,CBD1.03.04,CBD1,digital,M,standard,geometry-and-trigonometry,angles_triangles,,,,,
No,CBD1.03.03,CBD1,digital,M,standard,algebra,linear-modelling,,,,,
No,CBD1.03.02,CBD1,digital,M,standard,advanced-math,quadratics,,,,,
No,CBD1.03.01,CBD1,digital,M,standard,problem-solving-and-data-analysis,1-var-stats,,,,,
No,CBD1.02L.27,CBD1,digital,RW,adapted_lower,expression-of-ideas,rhetorical-synthesis,,,,,
No,CBD1.02L.26,CBD1,digital,RW,adapted_lower,expression-of-ideas,transitions,,,,,
No,CBD1.02L.25,CBD1,digital,RW,adapted_lower,expression-of-ideas,transitions,,,,,
No,CBD1.02L.24,CBD1,digital,RW,adapted_lower,expression-of-ideas,transitions,,,,,
No,CBD1.02L.23,CBD1,digital,RW,adapted_lower,standard-English-conventions,verbs,,,,,
No,CBD1.02L.22,CBD1,digital,RW,adapted_lower,standard-English-conventions,questions,,,,,
No,CBD1.02L.21,CBD1,digital,RW,adapted_lower,standard-English-conventions,verbs,,,,,
No,CBD1.02L.20,CBD1,digital,RW,adapted_lower,standard-English-conventions,pronouns-and-nouns,,,,,
No,CBD1.02L.19,CBD1,digital,RW,adapted_lower,standard-English-conventions,syntax,,,,,
No,CBD1.02L.18,CBD1,digital,RW,adapted_lower,standard-English-conventions,verbs,,,,,
No,CBD1.02L.17,CBD1,digital,RW,adapted_lower,standard-English-conventions,pronouns-and-nouns,,,,,
No,CBD1.02L.16,CBD1,digital,RW,adapted_lower,information-and-ideas,inferences,,,,,
No,CBD1.02L.15,CBD1,digital,RW,adapted_lower,information-and-ideas,inferences,,,,,
No,CBD1.02L.14,CBD1,digital,RW,adapted_lower,information-and-ideas,inferences,,,,,
No,CBD1.02L.13,CBD1,digital,RW,adapted_lower,information-and-ideas,inferences,,,,,
No,CBD1.02L.12,CBD1,digital,RW,adapted_lower,information-and-ideas,command-of-evidence-textual,,,,,
No,CBD1.02L.11,CBD1,digital,RW,adapted_lower,information-and-ideas,command-of-evidence-textual,,,,,
No,CBD1.02L.10,CBD1,digital,RW,adapted_lower,information-and-ideas,command-of-evidence-textual,,,,,
No,CBD1.02L.09,CBD1,digital,RW,adapted_lower,information-and-ideas,central-ideas-and-details,,,,,
No,CBD1.02L.08,CBD1,digital,RW,adapted_lower,craft-and-structure,words-in-context,,,,,C
